"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 23 21:04:38 BST 2022","Mon May 23 21:04:59 BST 2022","21484","","Customer Rating filter in the filter panel","","Customer Rating filter in the filter panel","Apply Customer Rating filter updates the URL","Apply Customer Rating filter updates the URL",""
"passed","Mon May 23 21:02:29 BST 2022","Mon May 23 21:02:55 BST 2022","25994","","Customer Rating filter in the filter panel","","Customer Rating filter in the filter panel","Apply Customer Rating filter updates the URL","Apply Customer Rating filter updates the URL",""
"passed","Thu Mar 31 11:52:20 BST 2022","Thu Mar 31 11:52:35 BST 2022","15662","","All Categories Link","","All Categories Link","selecting all categories link displays all categories for users search","selecting all categories link displays all categories for users search",""
"passed","Mon Apr 25 17:53:15 BST 2022","Mon Apr 25 17:53:26 BST 2022","11337","","Applied filters","","Applied filters","Selected PLP+ page filters should not see in the applied filter section","Selected PLP+ page filters should not see in the applied filter section",""
"passed","Fri Apr 01 13:54:00 BST 2022","Fri Apr 01 13:54:26 BST 2022","25778","","Add to Trolley","","Add to Trolley","Add to trolley modal and close by clicking the background overlay","Add to trolley modal and close by clicking the background overlay",""
"passed","Mon May 23 21:01:20 BST 2022","Mon May 23 21:01:45 BST 2022","24440","","Aggregations & Filters Functionality","","Aggregations & Filters Functionality","Perform sort after single select","Perform sort after single select",""
"passed","Wed Apr 20 09:21:34 BST 2022","Wed Apr 20 09:21:42 BST 2022","7349","","Bespoke white goods product card","","Bespoke white goods product card","Bespoke white goods product cards displayed on white goods browse lister","Bespoke white goods product cards displayed on white goods browse lister",""
"passed","Fri Apr 08 11:01:37 BST 2022","Fri Apr 08 11:01:57 BST 2022","20224","","Google AdSense","","Google AdSense","AdSense requests when updating search term","AdSense requests when updating search term",""
"passed","Tue Aug 16 20:47:18 BST 2022","Tue Aug 16 20:47:25 BST 2022","7691","","CMS content in list","","CMS content in list","Content in canned list visible on filtering","Content in canned list visible on filtering",""
"passed","Fri Apr 08 11:01:13 BST 2022","Fri Apr 08 11:01:20 BST 2022","7556","","Validate Filter Product Counts","","Validate Filter Product Counts","Prepush : Product count in search title","Prepush : Product count in search title",""
