"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 28 15:12:22 GMT 2022","Mon Mar 28 15:12:31 GMT 2022","9855","","Bespoke white goods product card","","Bespoke white goods product card","Bespoke white goods product cards displayed on white goods browse lister","Bespoke white goods product cards displayed on white goods browse lister",""
"passed","Mon Mar 28 15:13:44 GMT 2022","Mon Mar 28 15:13:55 GMT 2022","10628","","Category facet exact match","","Category facet exact match","prepush","prepush",""
"passed","Thu Apr 07 12:30:25 GMT 2022","Thu Apr 07 12:30:37 GMT 2022","12384","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the X button","Add to trolley modal and close using the X button",""
"passed","Mon May 23 20:04:24 GMT 2022","Mon May 23 20:04:39 GMT 2022","15712","","Google AdSense","","Google AdSense","AdSense requests when updating search term","AdSense requests when updating search term",""
"passed","Mon Mar 28 15:12:22 GMT 2022","Mon Mar 28 15:12:57 GMT 2022","34346","","Customer Rating filter in the filter panel","","Customer Rating filter in the filter panel","Apply Customer Rating filter updates the URL","Apply Customer Rating filter updates the URL",""
"passed","Thu Apr 07 12:31:02 GMT 2022","Thu Apr 07 12:31:13 GMT 2022","10613","","Add to Trolley","","Add to Trolley","Add to trolley modal and close using the X button","Add to trolley modal and close using the X button",""
"passed","Fri Apr 08 11:37:16 GMT 2022","Fri Apr 08 11:37:27 GMT 2022","11061","","Canned Search","","Canned Search","Serving the correct component 404 page <expired canned search>","Serving the correct component 404 page <expired canned search>",""
"failed","Tue May 17 06:25:17 GMT 2022","Tue May 17 06:25:30 GMT 2022","12135","","Product Card Variations","","Product Card Variations","Correct product card links for size searched variants medium suitcase","Correct product card links for size searched variants medium suitcase",""
"passed","Thu Mar 31 10:52:52 GMT 2022","Thu Mar 31 10:53:00 GMT 2022","7618","","Validate Filter Product Counts","","Validate Filter Product Counts","Prepush : Product count in search title","Prepush : Product count in search title",""
"passed","Mon May 23 20:02:25 GMT 2022","Mon May 23 20:02:30 GMT 2022","4764","","Dyson stub server","","Dyson stub server","Access the dyson stub server","Access the dyson stub server",""
"passed","Mon Apr 25 13:10:26 GMT 2022","Mon Apr 25 13:10:34 GMT 2022","7737","","Add to Trolley","","Add to Trolley","Add to trolley modal and close by clicking the background overlay","Add to trolley modal and close by clicking the background overlay",""
"passed","Mon Apr 25 14:20:06 GMT 2022","Mon Apr 25 14:20:12 GMT 2022","5453","","Applied filters","","Applied filters","Bookmarked search page should not see applied filters section","Bookmarked search page should not see applied filters section",""
